location,bucket_id,High-Frequency Acceleration_count,High-Frequency Acceleration_mean,High-Frequency Acceleration_std,High-Frequency Acceleration_min,High-Frequency Acceleration_max,Low-Frequency Acceleration Z_count,Low-Frequency Acceleration Z_mean,Low-Frequency Acceleration Z_std,Low-Frequency Acceleration Z_min,Low-Frequency Acceleration Z_max,Temperature_count,Temperature_mean,Temperature_std,Temperature_min,Temperature_max,Vibration Velocity Z_count,Vibration Velocity Z_mean,Vibration Velocity Z_std,Vibration Velocity Z_min,Vibration Velocity Z_max,alignment_status_rating,bearing_lubrication_rating,crest_factor_rating,electromagnetic_status_rating,fit_condition_rating,kurtosis_opt_rating,rms_10_25khz_rating,rms_1_10khz_rating,rotor_balance_status_rating,rubbing_condition_rating,velocity_rms_rating,peak_value_opt_rating,datetime,bucket_end
Gear Reducer,1,194,1.695104329896907,0.07069953694445276,1.54309,1.84896,194,1.600698969072165,0.06791361272786431,1.45267,1.76265,217,38.92764976958525,0.12045633492113508,38.7,39.2,194,2.519649793814433,0.3631099656885509,1.81648,3.06863,81.82,97.2,90.18,98.0,88.27,85.67,98.0,96.96,81.14,95.72,70.2,91.07,2025-04-01 00:00:05,2025-04-01 00:20:00
Gear Reducer,2,240,1.8251475416666667,0.17410673424847103,1.57066,2.2978,240,1.7703094583333334,0.17693148421701754,1.51612,2.25343,240,39.125416666666666,0.0842132761011463,39.0,39.3,240,2.6795837083333334,0.5366425167768116,2.05543,3.93209,80.44,97.53,90.27,98.0,85.31,85.62,98.0,97.12,87.75,96.19,72.96,90.97,2025-04-01 00:20:05,2025-04-01 00:40:00
Gear Reducer,3,240,1.7017018333333334,0.10832361322629029,1.52645,2.27209,240,1.6133019583333335,0.11474857808764488,1.42874,2.22772,240,39.1,0.0877424912449703,38.9,39.2,240,2.504011708333333,0.40621982590689837,1.80039,3.83359,87.37,96.95,88.68,98.0,90.4,84.43,98.0,96.86,85.51,96.1,66.5,90.21,2025-04-01 00:40:05,2025-04-01 01:00:00
Gear Reducer,4,240,1.7871587916666667,0.17002429856312065,1.54389,2.34436,240,1.7239032916666666,0.17585485932828426,1.45071,2.29953,240,39.23416666666667,0.0748732075618459,39.1,39.3,240,2.57901525,0.5389333804708253,1.83431,3.97817,81.15,97.8,90.78,98.0,84.47,85.55,98.0,97.06,87.85,96.95,69.16,91.74,2025-04-01 01:00:05,2025-04-01 01:20:00
Gear Reducer,5,240,1.7134119166666666,0.14065315972066614,1.46135,2.27882,240,1.6333787499999999,0.14924152905917468,1.38212,2.23366,240,39.03125,0.08521754096842085,38.8,39.2,240,2.472412125,0.4677433633386458,1.72567,3.87418,84.03,96.66,90.27,98.0,88.77,84.67,98.0,96.87,85.45,96.52,66.33,91.05,2025-04-01 01:20:05,2025-04-01 01:40:00
Gear Reducer,6,240,1.7316350833333334,0.09288134338019759,1.51597,1.96194,240,1.6547647916666668,0.09546818454003768,1.42313,1.89081,240,39.245,0.056167710612779545,39.1,39.3,240,2.4999689166666665,0.3803615264253148,1.82824,3.25618,83.08,97.45,90.01,98.0,89.5,86.02,98.0,96.98,81.1,96.56,72.04,91.32,2025-04-01 01:40:05,2025-04-01 02:00:00
Gear Reducer,7,240,1.7429007916666668,0.1154709533029534,1.49621,2.23258,240,1.6714280416666665,0.11867860224521062,1.41908,2.18663,240,39.26916666666667,0.04627701442569987,39.2,39.3,240,2.5214115416666667,0.41290313239442483,1.75205,3.90336,84.5,97.32,89.65,98.0,88.94,85.95,98.0,96.94,83.25,95.75,70.13,91.03,2025-04-01 02:00:05,2025-04-01 02:20:00
Gear Reducer,8,240,1.719305625,0.09151423509330305,1.52165,1.94054,240,1.6405171666666667,0.09416344223669482,1.43651,1.86629,240,39.19625,0.09824026988774015,38.9,39.3,240,2.4906939166666664,0.38139069335731646,1.86757,3.25349,80.94,97.73,90.15,98.0,88.57,85.65,98.0,96.9,84.68,95.94,70.01,91.62,2025-04-01 02:20:05,2025-04-01 02:40:00
Gear Reducer,9,240,1.7231222083333333,0.08435964718103509,1.52956,1.95098,240,1.6432575833333334,0.08692453319473596,1.43589,1.87518,240,39.3075,0.08645747739490259,39.2,39.5,240,2.5176749166666665,0.3654538570349892,1.83252,3.17964,88.28,97.58,89.17,98.0,90.32,85.09,98.0,96.92,81.72,95.78,68.43,91.09,2025-04-01 02:40:05,2025-04-01 03:00:00
Gear Reducer,10,240,1.8049227083333332,0.17567138905105742,1.56222,2.29456,240,1.7462304166666667,0.1798620291511513,1.50425,2.25001,240,39.21208333333333,0.18403836162472145,38.9,39.5,240,2.653829291666667,0.5613482593581577,1.86388,3.96789,82.69,97.41,90.68,98.0,89.78,86.11,98.0,96.9,84.2,96.89,69.81,91.23,2025-04-01 03:00:05,2025-04-01 03:20:00
